City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Inuvik,CA,2021-03-21 16:37:23,68.3499,-133.7218,-13.0,77,4,5.75
97,San Cristobal,VE,2021-03-21 16:37:23,7.7669,-72.225,82.4,65,20,9.22
98,Iquitos,PE,2021-03-21 16:37:24,-3.7481,-73.2472,78.8,78,75,4.61
99,Cravo Norte,CO,2021-03-21 16:37:24,6.3017,-70.2041,94.71,33,67,10.13
100,Carutapera,BR,2021-03-21 16:37:24,-1.195,-46.02,83.61,76,88,6.02
101,Kozluk,TR,2021-03-21 16:37:01,38.1938,41.4885,55.4,58,0,1.14
102,Solnechnyy,RU,2021-03-21 16:37:25,50.7214,136.6319,22.73,93,100,6.67
103,Nadym,RU,2021-03-21 16:37:25,65.5333,72.5167,-0.72,97,100,7.9
104,Huarmey,PE,2021-03-21 16:32:27,-10.0681,-78.1522,78.04,67,7,10.02
105,Monrovia,LR,2021-03-21 16:37:26,6.3005,-10.7969,87.8,66,75,14.97
106,Urambo,TZ,2021-03-21 16:37:26,-5.0667,32.05,73.4,60,58,3.98
107,Sigli,ID,2021-03-21 16:37:27,5.3848,95.9609,80.29,78,99,5.12
108,Arraial Do Cabo,BR,2021-03-21 16:37:27,-22.9661,-42.0278,89.6,62,20,21.85
109,Coihaique,CL,2021-03-21 16:34:33,-45.5752,-72.0662,62.6,51,0,6.91
110,Vaini,TO,2021-03-21 16:37:27,-21.2,-175.2,75.2,100,40,3.44
111,Barguzin,RU,2021-03-21 16:37:28,53.6167,109.6167,27.41,74,96,6.04
112,Barrow,US,2021-03-21 16:37:28,71.2906,-156.7887,-16.6,69,1,12.66
113,Sobinka,RU,2021-03-21 16:37:29,55.9855,40.0111,25.56,91,100,11.68
114,Sitka,US,2021-03-21 16:37:29,57.0531,-135.33,35.6,93,90,8.05
115,Saint-Philippe,RE,2021-03-21 16:37:29,-21.3585,55.7679,80.6,78,75,23.02
116,Olafsvik,IS,2021-03-21 16:37:29,64.8945,-23.7142,43.32,89,100,31.5
117,Barahona,DO,2021-03-21 16:37:30,18.2085,-71.1008,82.4,57,40,13.8
118,Jamestown,US,2021-03-21 16:37:13,42.097,-79.2353,57.99,25,1,8.03
119,Salaga,GH,2021-03-21 16:37:30,8.5508,-0.5188,99.59,25,0,3.02
120,Tiksi,RU,2021-03-21 16:37:31,71.6872,128.8694,-14.89,99,100,11.48
121,Kampong Thum,KH,2021-03-21 16:37:31,12.7111,104.8887,82.65,59,7,7.83
122,Astorga,BR,2021-03-21 16:37:31,-23.2325,-51.6656,89.6,55,75,11.5
123,Saint-Augustin,CA,2021-03-21 16:37:32,51.226,-58.6502,31.5,95,79,15.14
124,San Quintin,MX,2021-03-21 16:37:32,30.4833,-115.95,59.09,67,91,11.79
125,Saint Stephen,GB,2021-03-21 16:37:32,50.3333,-4.9,50.0,81,90,10.36
126,Lahad Datu,MY,2021-03-21 16:37:33,5.0268,118.327,76.51,93,78,3.27
127,Teguise,ES,2021-03-21 16:37:33,29.0605,-13.564,69.8,43,20,19.57
128,Sibanicu,CU,2021-03-21 16:37:33,21.235,-77.5264,82.4,57,75,5.75
129,Tabas,IR,2021-03-21 16:37:34,33.5959,56.9244,66.47,16,93,9.42
130,Bengkulu,ID,2021-03-21 16:37:34,-3.8004,102.2655,77.14,89,100,7.05
131,Kaitangata,NZ,2021-03-21 16:37:35,-46.2817,169.8464,55.0,79,92,1.01
132,Tazovskiy,RU,2021-03-21 16:37:35,67.4667,78.7,1.53,95,100,14.65
133,Tyubuk,RU,2021-03-21 16:37:35,56.0552,60.9405,15.55,90,75,6.02
134,Vila Velha,BR,2021-03-21 16:37:36,-20.3297,-40.2925,86.0,74,40,11.5
135,Salalah,OM,2021-03-21 16:37:36,17.0151,54.0924,80.6,83,0,4.61
136,Kailua,US,2021-03-21 16:37:37,21.4022,-157.7394,71.6,73,90,19.57
137,Vuktyl,RU,2021-03-21 16:37:37,63.8567,57.3094,13.69,94,99,6.8
138,New Norfolk,AU,2021-03-21 16:37:37,-42.7826,147.0587,60.8,77,90,8.05
139,Corowa,AU,2021-03-21 16:37:37,-36.0333,146.3833,66.0,74,94,10.65
140,Paamiut,GL,2021-03-21 16:37:38,61.994,-49.6678,22.75,79,100,13.85
141,Lasa,IT,2021-03-21 16:37:38,46.6166,10.7002,55.4,69,75,10.36
142,Vao,NC,2021-03-21 16:37:39,-22.6667,167.4833,74.77,76,31,19.19
143,Clyde River,CA,2021-03-21 16:37:39,70.4692,-68.5914,-11.2,77,1,17.27
144,Alaca,TR,2021-03-21 16:37:40,40.1683,34.8425,46.76,93,99,4.14
145,Bentiu,SS,2021-03-21 16:37:40,9.2333,29.8333,91.08,35,98,3.76
146,Port Hardy,CA,2021-03-21 16:37:40,50.6996,-127.4199,39.2,93,90,11.5
147,Santa Maria,BR,2021-03-21 16:35:29,-29.6842,-53.8069,77.0,83,90,8.05
148,Codrington,AU,2021-03-21 16:37:41,-38.2667,141.9667,62.92,90,70,10.02
149,Shimoda,JP,2021-03-21 16:37:41,34.6667,138.95,62.01,59,96,5.99
150,Bat Yam,IL,2021-03-21 16:37:41,32.0231,34.7503,77.0,36,0,2.3
151,Kefamenanu,ID,2021-03-21 16:37:42,-9.4467,124.4781,71.91,96,89,3.27
152,Dikson,RU,2021-03-21 16:37:42,73.5069,80.5464,-12.1,61,81,6.2
153,Bambous Virieux,MU,2021-03-21 16:37:42,-20.3428,57.7575,81.0,89,75,11.5
154,Pingliang,CN,2021-03-21 16:37:43,35.5392,106.6861,35.29,42,3,3.04
155,Puerto Ayora,EC,2021-03-21 16:37:43,-0.7393,-90.3518,84.2,74,20,6.91
156,Fukue,JP,2021-03-21 16:37:43,32.6881,128.8419,47.61,71,47,29.19
