City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Wadi Musa,JO,30.3222,35.4793,51.06,87,67,9.66,broken clouds
280,Bria,CF,6.5423,21.9863,75.16,69,100,4.99,overcast clouds
281,Manavgat,TR,36.7867,31.4431,57.2,54,40,23.02,scattered clouds
282,Bichura,RU,50.5881,107.6022,26.29,96,98,2.13,overcast clouds
283,Alta Floresta,BR,-9.8756,-56.0861,78.8,78,75,3.44,broken clouds
284,North Bend,US,43.4065,-124.2243,57.0,62,1,14.97,clear sky
285,Samarai,PG,-10.6167,150.6667,81.41,80,100,7.31,overcast clouds
286,Tambura,SS,5.6,27.4667,72.05,71,100,3.8,overcast clouds
287,Margate,GB,51.3813,1.3862,44.01,77,1,3.0,clear sky
288,Kalanguy,RU,51.0167,116.5167,10.45,96,48,3.0,scattered clouds
289,Flin Flon,CA,54.7682,-101.865,10.4,44,1,5.75,clear sky
290,Beloha,MG,-25.1667,45.05,70.27,85,16,4.61,few clouds
291,Pozzallo,IT,36.7305,14.8499,44.6,70,75,2.3,broken clouds
292,Dosso,NE,13.049,3.1937,89.35,13,67,7.85,broken clouds
293,Khor,RU,47.8861,134.9464,11.25,84,1,5.61,clear sky
294,Gravdal,NO,68.1214,13.5031,37.4,93,75,9.22,light rain
295,Vallenar,CL,-28.5708,-70.7581,81.05,33,0,8.3,clear sky
296,Hirara,JP,24.8,125.2833,67.3,70,97,17.22,overcast clouds
297,Bulgan,MN,48.8125,103.5347,28.24,51,32,4.14,scattered clouds
298,Tura,IN,25.5198,90.2201,73.92,23,5,4.05,clear sky
299,Rondonopolis,BR,-16.4708,-54.6356,82.87,64,97,3.8,overcast clouds
300,Ostrovnoy,RU,68.0531,39.5131,32.81,78,100,26.87,light snow
301,Constitucion,CL,-35.3333,-72.4167,65.71,61,0,16.02,clear sky
302,Necochea,AR,-38.5473,-58.7368,78.01,47,0,5.01,clear sky
303,Krasnaya Gorbatka,RU,55.8703,41.7641,19.92,96,95,3.83,overcast clouds
304,Castro,BR,-24.7911,-50.0119,71.28,82,50,1.14,scattered clouds
305,Bandarbeyla,SO,9.4942,50.8122,77.56,62,1,7.96,clear sky
306,Elat,IL,29.5581,34.9482,75.2,69,63,16.11,dust
307,Itarema,BR,-2.9248,-39.9167,78.67,80,26,8.48,scattered clouds
308,Rio Grande,BR,-32.035,-52.0986,71.6,88,90,2.3,overcast clouds
309,Aksarka,RU,66.5606,67.7975,13.93,98,100,5.12,overcast clouds
310,Port Shepstone,ZA,-30.7414,30.455,68.68,70,56,4.38,broken clouds
311,Altay,CN,47.8667,88.1167,38.12,57,100,6.11,overcast clouds
312,Brae,GB,60.3964,-1.353,46.4,81,75,32.21,broken clouds
313,Mitsamiouli,KM,-11.3847,43.2844,82.22,73,99,3.62,overcast clouds
314,Kristianstad,SE,56.0313,14.1524,43.0,87,90,3.44,overcast clouds
315,Opuwo,NA,-18.0607,13.84,69.8,87,100,5.91,moderate rain
316,Eenhana,NA,-17.4667,16.3333,72.77,70,97,5.93,overcast clouds
317,Santa Cruz,BO,-17.8,-63.1667,82.4,61,40,6.91,scattered clouds
318,Shelburne,CA,44.0787,-80.2041,68.0,17,1,13.8,clear sky
319,Soyo,AO,-6.1349,12.3689,80.24,85,94,9.28,overcast clouds
320,Jaciara,BR,-15.9653,-54.9683,78.98,74,100,2.26,overcast clouds
321,Hwange,ZW,-18.3693,26.5019,67.86,89,10,1.66,clear sky
322,Kantabanji,IN,20.4833,82.9167,81.1,26,1,3.11,clear sky
323,Gemena,CD,3.25,19.7667,77.58,60,81,2.66,broken clouds
324,Te Anau,NZ,-45.4167,167.7167,52.97,91,99,3.11,overcast clouds
325,Nadym,RU,65.5333,72.5167,16.65,96,53,11.7,broken clouds
326,Oussouye,SN,12.485,-16.5469,78.8,88,0,4.61,clear sky
327,Tena,EC,-0.9833,-77.8167,87.8,62,40,4.61,light rain
328,Caravelas,BR,-17.7125,-39.2481,77.68,77,1,5.7,clear sky
329,Kenitra,MA,34.261,-6.5802,50.0,87,0,4.18,clear sky
330,Roatan,HN,16.3244,-86.5366,84.2,79,20,20.71,few clouds
331,Fukue,JP,32.6881,128.8419,55.24,60,100,7.27,overcast clouds
332,Vung Tau,VN,10.346,107.0843,79.81,80,100,16.69,overcast clouds
333,Praia Da Vitoria,PT,38.7333,-27.0667,55.99,71,40,11.92,scattered clouds
334,Belmonte,BR,-15.8631,-38.8828,80.6,69,40,9.22,scattered clouds
335,Taoudenni,ML,22.6783,-3.9836,72.7,11,0,11.48,clear sky
336,Mbandaka,CD,0.0487,18.2603,73.33,84,64,5.03,broken clouds
337,Marsh Harbour,BS,26.5412,-77.0636,72.45,54,3,2.1,clear sky
338,Brigantine,US,39.4101,-74.3646,59.0,67,1,9.22,clear sky
339,Guilin,CN,25.2819,110.2864,42.8,100,0,2.24,mist
340,Nassau,US,40.7507,-73.5829,62.01,51,1,9.22,clear sky
341,San Quintin,MX,30.4833,-115.95,58.19,72,97,21.72,overcast clouds
342,Ashland,US,40.8167,-82.2665,68.0,32,75,14.97,broken clouds
343,Mapimi,MX,25.8167,-103.85,84.2,3,75,9.22,broken clouds
344,Fare,PF,-16.7,-151.0167,83.66,72,10,20.56,clear sky
345,Tiruchchendur,IN,8.4833,78.1167,80.98,78,80,12.19,broken clouds
346,Leua,SK,48.2156,18.6071,43.0,78,10,11.01,clear sky
347,Strezhevoy,RU,60.7333,77.5889,17.6,67,0,6.71,clear sky
348,Chapais,CA,49.7834,-74.8492,46.4,39,75,6.91,broken clouds
